"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";
"BUTTON_CONNECTIONS";"0X8";"0X8";"1X08";"1X08 Pin Headers";"";"";"";"";"";"";"";"";
"EYE_OLED1";"1X4";"1X4";"1X04";"1X04 Pin Headers";"";"";"";"";"";"";"";"";
"EYE_OLED2";"1X4";"1X4";"1X04";"1X04 Pin Headers";"";"";"";"";"";"";"";"";
"FUD1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";
"FUD2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";
"FUD3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";
"IC1";"L293DNE";"L293DNE";"DIP762W53P254L1980H508Q16N";"Quadruple Half-H Drivers L293DNE, 4.5 V to 36 V, 0C to 70C operation temps.";"L293DNE";"https://www.arrow.com/en/products/l293dne/texas-instruments?utm_currency=USD&region=europe";"Quadruple Half-H Drivers L293DNE, 4.5 V to 36 V, 0C to 70C operation temps.";"5.08mm";"Texas Instruments";"L293DNE";"595-L293DNE";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/L293DNE?qs=ZA235jQDfbp%2Fp7f5ThcsUA%3D%3D";
"MGT1";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";
"MGT2";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";
"MGT3";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";
"MGT4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";
"MOUTH_OLED";"1X4";"1X4";"1X04";"1X04 Pin Headers";"";"";"";"";"";"";"";"";
"MPU6050";"1X4";"1X4";"1X04";"1X04 Pin Headers";"";"";"";"";"";"";"";"";
"R1";"10K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R2";"10K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R3";"10K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R4";"10K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R5";"10K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R6";"10K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R7";"1 Ohm";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R8";"2.2K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R9";"2.2K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R10";"2.2K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R11";"2.2K Ohms";"R_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"U$1";"1X2";"1X2";"1X02";"1X02 Pin Headers";"";"";"";"";"";"";"";"";
"U$2";"1X2";"1X2";"1X02";"1X02 Pin Headers";"";"";"";"";"";"";"";"";
"U$3";"1X2";"1X2";"1X02";"1X02 Pin Headers";"";"";"";"";"";"";"";"";
"U$4";"1X2";"1X2";"1X02";"1X02 Pin Headers";"";"";"";"";"";"";"";"";
"U1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"";"";"";"";"";"";"";"";"";
"U2";"BUZZER";"BUZZER";"BUZZER_6.5MM";"CEM-1203 Buzzer";"";"";"";"";"";"";"";"";
